icao,datetime_utc,timestamp,msg,df,typecode,oe_flag,velocity,speed_heading,airborne_velocity,altitude_diff,nuc_v,nac_v,emergency_state,version,nac_p,nic_s,nic_a_c,selected_altitude,selected_heading,baro_pressure_setting,tcas_operational,altitude,nuc_p,nic_b,latitude,longitude,position_type,emergency_squawk,is_emergency,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,callsign,category
4075C2,2025-06-14 00:53:25.039000034+00:00,1749862405.039,8D4075C29909C51DA008457ED542,17,19,1,"(509, 62.42986281766783, 64, 'GS')","(509, 62.42986281766783)","(509, 62.42986281766783, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31211930614407,-140.74316273564878,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:25.392410994+00:00,1749862405.392411,8D4075C258BDF18331425CA002C0,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.2686767578125,-140.70938435006647,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:25.942173958+00:00,1749862405.942174,8D4075C258BDF18345426E84AEDC,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.269134521484375,-140.70833246758642,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:25.942188978+00:00,1749862405.942189,8D4075C29909C51DA00C4546E342,17,19,1,"(509, 62.42986281766783, 128, 'GS')","(509, 62.42986281766783)","(509, 62.42986281766783, 128, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31211930614407,-140.68202143130094,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:26.317585945+00:00,1749862406.317586,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:26.435194016+00:00,1749862406.435194,8D4075C258BDF18361428AF3FFD7,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.269775390625,-140.70669620595078,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:26.435207844+00:00,1749862406.4352078,8D4075C29909C51DC00C45896739,17,19,1,"(510, 62.33034673881055, 128, 'GS')","(510, 62.33034673881055)","(510, 62.33034673881055, 128, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31286414194915,-140.68202143130094,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:26.925840855+00:00,1749862406.9258409,8D4075C258BDF18375429C192E36,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.270233154296875,-140.70564432347072,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:26.925848007+00:00,1749862406.925848,8D4075C29909C51DC00C45896739,17,19,1,"(510, 62.33034673881055, 128, 'GS')","(510, 62.33034673881055)","(510, 62.33034673881055, 128, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31286414194915,-140.68202143130094,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:27.132826090+00:00,1749862407.132826,8D4075C2F82100020049BC9CAAD5,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
4075C2,2025-06-14 00:53:27.909125805+00:00,1749862407.9091258,8D4075C258BDF183A542C958395E,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.271331787109375,-140.7030146172706,airborne,,,,,,,,,
